Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1779230738723,1,12.00000018,Upper Delivery,Loading,pitch.0,20678,0.2828,0.1444,0.2738,0.2355,0.5022,-2.1477,0.0,0.0
1779230738724,1,12.00000018,Upper Delivery,Loading,pitch.0,20679,0.2914,0.1352,0.2478,-0.1573,0.796,-2.1661,0.0,0.0
1779230738725,1,12.00000018,Upper Delivery,Loading,pitch.0,20680,0.3019,0.0969,0.2163,0.2517,0.4859,-2.1194,0.0,0.0
1779230738726,1,11.0000004b,Drive,Loading,pitch.0,20658,-1.3688,2.3086,55.1103,47.7525,59.2271,-2.2469,-0.122,0.0984
1779230738726,1,12.00000018,Upper Delivery,Loading,pitch.0,20681,0.3196,0.1189,0.2202,0.9223,-0.0241,-2.1139,0.0,0.0
1779230738726,1,Pitching Mound.Drive,,Loading,pitch.0,20658,-1.3688,2.3086,55.1103,47.7525,59.2271,-2.2469,-0.122,0.0984
1779230738727,1,11.0000004b,Drive,Loading,pitch.0,20659,-1.3657,2.3051,55.114,47.669,59.1061,-2.2215,-0.1218,0.0982
1779230738727,1,12.00000018,Upper Delivery,Loading,pitch.0,20682,0.3184,0.1111,0.17,0.0173,0.6375,-2.0733,0.0,0.0
1779230738727,1,Pitching Mound.Drive,,Loading,pitch.0,20659,-1.3657,2.3051,55.114,47.669,59.1061,-2.2215,-0.1218,0.0982
1779230738728,1,11.0000004b,Drive,Loading,pitch.0,20660,-1.3725,2.2969,55.0509,47.5829,59.0576,-2.2297,-0.1218,0.0982
1779230738728,1,12.00000018,Upper Delivery,Loading,pitch.0,20683,0.3458,0.0808,0.0762,0.74,0.0422,-1.9961,0.0,0.0
1779230738728,1,Pitching Mound.Drive,,Loading,pitch.0,20660,-1.3725,2.2969,55.0509,47.5829,59.0576,-2.2297,-0.1218,0.0982
1779230738729,1,11.0000004b,Drive,Loading,pitch.0,20661,-1.3752,2.296,55.1105,47.5693,59.0456,-2.2599,-0.1217,0.098
1779230738729,1,12.00000015,Lower Delivery,Loading,pitch.0,20641,0.5154,1.212,1.7805,-2.5871,-3.563,2.019,0.0,0.0
1779230738729,1,12.00000018,Upper Delivery,Loading,pitch.0,20684,0.3627,0.0515,0.069,0.6047,0.1011,-1.9397,0.0,0.0
1779230738729,1,Pitching Mound.Delivery,,Loading,pitch.0,20637,0.8781,1.2635,1.8496,-1.4005,-3.4619,0.0273,0.0,0.0
1779230738729,1,Pitching Mound.Drive,,Loading,pitch.0,20661,-1.3752,2.296,55.1105,47.5693,59.0456,-2.2599,-0.1217,0.098
1779230738729,1,Pitching Mound.Parent,,Loading,pitch.0,20620,-0.4971,3.5595,56.9601,46.1688,55.5837,-2.2325,-0.1177,0.1051
1779230738730,1,11.0000004b,Drive,Loading,pitch.0,20662,-1.39,2.2868,54.9281,47.4062,58.9149,-2.2283,-0.1218,0.098
1779230738730,1,12.00000015,Lower Delivery,Loading,pitch.0,20642,0.538,1.217,1.8118,-2.5474,-3.6776,2.0437,0.0,0.0
1779230738730,1,12.00000018,Upper Delivery,Loading,pitch.0,20685,0.3841,0.0606,0.0951,0.5631,0.1214,-1.9309,0.0,0.0
1779230738730,1,Pitching Mound.Delivery,,Loading,pitch.0,20638,0.922,1.2777,1.9068,-1.4007,-3.5562,0.0605,0.0,0.0
1779230738730,1,Pitching Mound.Drive,,Loading,pitch.0,20662,-1.39,2.2868,54.9281,47.4062,58.9149,-2.2283,-0.1218,0.098
1779230738730,1,Pitching Mound.Parent,,Loading,pitch.0,20621,-0.468,3.5644,56.8349,46.0055,55.3587,-2.1678,-0.1177,0.105
1779230738731,1,11.0000004b,Drive,Loading,pitch.0,20663,-1.3977,2.2854,54.8609,47.3008,58.6629,-2.2376,-0.1214,0.0979
1779230738731,1,12.00000015,Lower Delivery,Loading,pitch.0,20643,0.5298,1.2073,1.7252,-2.5869,-3.6713,2.0451,0.0,0.0
1779230738731,1,12.00000018,Upper Delivery,Loading,pitch.0,20686,0.4116,0.0778,0.315,0.0587,0.5019,-1.9654,0.0,0.0
1779230738731,1,Pitching Mound.Delivery,,Loading,pitch.0,20639,0.9414,1.2851,2.0402,-2.0488,-3.1694,0.0395,0.0,0.0
1779230738731,1,Pitching Mound.Drive,,Loading,pitch.0,20663,-1.3977,2.2854,54.8609,47.3008,58.6629,-2.2376,-0.1214,0.0979
1779230738731,1,Pitching Mound.Parent,,Loading,pitch.0,20622,-0.4563,3.5706,56.9011,45.2521,55.4935,-2.1982,-0.1171,0.1028
1779230738732,1,11.0000004b,Drive,Loading,pitch.0,20664,-1.3985,2.2771,54.8732,47.2787,58.6422,-2.218,-0.1214,0.0978
1779230738732,1,12.00000015,Lower Delivery,Loading,pitch.0,20644,0.4803,1.1989,1.7422,-2.3008,-3.3155,2.0813,0.0,0.0
1779230738732,1,12.00000018,Upper Delivery,Loading,pitch.0,20687,0.4208,0.0683,0.2135,-0.0166,0.5864,-2.0089,0.0,0.0
1779230738732,1,Pitching Mound.Delivery,,Loading,pitch.0,20640,0.9012,1.2672,1.9557,-1.7977,-2.7291,0.0522,0.0,0.0
1779230738732,1,Pitching Mound.Drive,,Loading,pitch.0,20664,-1.3985,2.2771,54.8732,47.2787,58.6422,-2.218,-0.1214,0.0978
1779230738732,1,Pitching Mound.Parent,,Loading,pitch.0,20623,-0.4973,3.5443,56.8289,45.4811,55.9131,-2.1658,-0.1172,0.1036
1779230738733,1,11.0000004b,Drive,Loading,pitch.0,20665,-1.4014,2.2868,54.858,47.1962,58.3288,-2.2258,-0.1207,0.0977
1779230738733,1,12.00000015,Lower Delivery,Loading,pitch.0,20645,0.4933,1.1978,1.7233,-2.0432,-3.157,2.0921,0.0,0.0
1779230738733,1,12.00000018,Upper Delivery,Loading,pitch.0,20688,0.4627,0.1089,0.2166,0.1658,0.444,-1.9532,0.0,0.0
1779230738733,1,Pitching Mound.Delivery,,Loading,pitch.0,20641,0.956,1.3068,1.94,-1.3652,-2.713,0.1284,0.0,0.0
1779230738733,1,Pitching Mound.Drive,,Loading,pitch.0,20665,-1.4014,2.2868,54.858,47.1962,58.3288,-2.2258,-0.1207,0.0977
