Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1782500864602,1,11.0000004b,Drive,Loading,pitch.0,1369302,-8.9043,5.0859,96.5923,7.3949,-32.6448,0.9761,0.0361,0.0082
1782500864602,1,12.00000015,Lower Delivery,Loading,pitch.0,1367510,-0.8389,0.3198,1.0223,0.4019,0.3105,1.9856,0.0,0.0
1782500864602,1,12.00000018,Upper Delivery,Loading,pitch.0,1369072,0.4567,-0.2498,0.7066,-0.1056,-0.0483,1.1442,0.0,0.0
1782500864602,1,Pitching Mound.Delivery,,Loading,pitch.0,1366541,-0.3822,0.07,1.7289,0.4036,0.2622,3.5704,0.0,0.0
1782500864602,1,Pitching Mound.Drive,,Loading,pitch.0,1369302,-8.9043,5.0859,96.5923,7.3949,-32.6448,0.9761,0.0361,0.0082
1782500864602,1,Pitching Mound.Parent,,Loading,pitch.0,1365672,-9.2865,5.1558,98.3212,7.7985,-32.3826,4.5465,0.0355,0.0091
1782500864603,1,11.0000004b,Drive,Loading,pitch.0,1369303,-8.9478,5.0904,96.6706,7.3044,-32.6674,1.0191,0.0361,0.0081
1782500864603,1,12.00000015,Lower Delivery,Loading,pitch.0,1367511,-0.8757,0.2998,1.0562,0.4021,0.3713,1.9933,0.0,0.0
1782500864603,1,12.00000018,Upper Delivery,Loading,pitch.0,1369073,0.4537,-0.2365,0.695,-0.189,0.0283,1.1206,0.0,0.0
1782500864603,1,Pitching Mound.Delivery,,Loading,pitch.0,1366542,-0.422,0.0633,1.7512,0.336,0.3995,3.566,0.0,0.0
1782500864603,1,Pitching Mound.Drive,,Loading,pitch.0,1369303,-8.9478,5.0904,96.6706,7.3044,-32.6674,1.0191,0.0361,0.0081
1782500864603,1,Pitching Mound.Parent,,Loading,pitch.0,1365673,-9.3698,5.1536,98.4217,7.6404,-32.2679,4.5851,0.0354,0.0092
1782500864604,1,11.0000004b,Drive,Loading,pitch.0,1369304,-8.9753,5.106,96.7572,7.1795,-32.7524,1.0419,0.0361,0.0079
