Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1780678885645,1,11.0000004b,Drive,Loading,pitch.0,120077,-8.9694,6.6686,88.9989,51.1509,-3.9327,6.2772,0.0057,0.0746
1780678885645,1,12.00000015,Lower Delivery,Loading,pitch.0,120151,-0.0047,-0.0068,0.0213,0.0217,-0.0269,-0.008,0.0,0.0
1780678885645,1,Pitching Mound.Drive,,Loading,pitch.0,120077,-8.9694,6.6686,88.9989,51.1509,-3.9327,6.2772,0.0057,0.0746
1780678885645,1,Pitching Mound.Parent,,Loading,pitch.0,120010,-8.9957,6.64,89.0322,51.0304,-3.9617,6.8312,0.0057,0.0746
1780678885646,1,11.0000004b,Drive,Loading,pitch.0,120078,-8.986,6.6582,89.0058,51.0054,-3.9454,6.305,0.0058,0.0743
1780678885646,1,12.00000015,Lower Delivery,Loading,pitch.0,120152,-0.0074,-0.0065,0.016,0.0261,-0.0181,-0.0067,0.0,0.0
1780678885646,1,Pitching Mound.Drive,,Loading,pitch.0,120078,-8.986,6.6582,89.0058,51.0054,-3.9454,6.305,0.0058,0.0743
1780678885646,1,Pitching Mound.Parent,,Loading,pitch.0,120011,-9.01,6.6343,89.0327,50.8876,-3.9698,6.9208,0.0057,0.0744
1780678885647,1,11.0000004b,Drive,Loading,pitch.0,120079,-9.0053,6.6753,88.9804,51.0531,-3.725,6.3217,0.0054,0.0744
1780678885647,1,12.00000015,Lower Delivery,Loading,pitch.0,120153,-0.0053,-0.007,0.0173,0.0364,-0.0192,-0.0073,0.0,0.0
1780678885647,1,12.00000018,Upper Delivery,Loading,pitch.0,120441,-0.0186,-0.0291,0.0075,-0.1356,-0.0028,0.5258,0.0,0.0
1780678885647,1,12.00000018,Upper Delivery,Loading,pitch.0,120442,-0.0184,-0.0302,0.0089,-0.139,-0.0008,0.5639,0.0,0.0
1780678885647,1,Pitching Mound.Delivery,,Loading,pitch.0,120127,-0.0261,-0.0356,0.0235,-0.1066,-0.021,0.5152,0.0,0.0
1780678885647,1,Pitching Mound.Delivery,,Loading,pitch.0,120128,-0.0237,-0.0372,0.0263,-0.0997,-0.0201,0.5522,0.0,0.0
1780678885647,1,Pitching Mound.Drive,,Loading,pitch.0,120079,-9.0053,6.6753,88.9804,51.0531,-3.725,6.3217,0.0054,0.0744
1780678885647,1,Pitching Mound.Parent,,Loading,pitch.0,120012,-9.0314,6.6397,89.0038,50.9464,-3.746,6.837,0.0054,0.0745
1780678885648,1,11.0000004b,Drive,Loading,pitch.0,120080,-9.0082,6.6805,88.9697,51.1125,-3.8131,6.3657,0.0056,0.0745
1780678885648,1,11.0000004b,Drive,Loading,pitch.0,120081,-9.0047,6.6796,88.9966,50.9697,-3.8763,6.3776,0.0057,0.0743
