Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1783101805959,1,11.0000004b,Drive,Loading,pitch.0,653595,-1.6884,5.0485,45.6032,21.7646,-15.7875,4.2562,0.0475,0.0655
1783101805959,1,12.00000015,Lower Delivery,Loading,pitch.0,653343,-1.5238,-2.2427,1.1156,-0.7848,-1.3415,0.1576,0.0,0.0
1783101805959,1,12.00000015,Lower Delivery,Loading,pitch.0,653344,-1.532,-2.2233,1.1193,-0.7741,-1.2933,0.1118,0.0,0.0
1783101805959,1,12.00000018,Upper Delivery,Loading,pitch.0,654458,-1.5192,-1.7968,5.6365,2.1547,0.9027,3.5617,-0.022,0.0525
1783101805959,1,Pitching Mound.Delivery,,Loading,pitch.0,652961,-2.9942,-4.011,6.6849,-0.2012,-0.5144,3.6969,0.0,0.0
1783101805959,1,Pitching Mound.Delivery,,Loading,pitch.0,652962,-3.0512,-4.0201,6.7558,-0.1553,-0.3906,3.6778,0.0,0.0
1783101805959,1,Pitching Mound.Drive,,Loading,pitch.0,653595,-1.6884,5.0485,45.6032,21.7646,-15.7875,4.2562,0.0475,0.0655
1783101805959,1,Pitching Mound.Parent,,Loading,pitch.0,652318,-4.6773,1.0332,52.2726,21.6005,-16.3084,7.9794,0.0393,0.0338
1783101805959,1,Pitching Mound.Parent,,Loading,pitch.0,652319,-4.7396,1.0284,52.359,21.6093,-16.1781,7.934,0.039,0.0334
1783101805960,1,11.0000004b,Drive,Loading,pitch.0,653596,-1.6808,5.0616,45.527,21.7584,-15.9148,4.2349,0.048,0.0656
1783101805960,1,12.00000015,Lower Delivery,Loading,pitch.0,653345,-1.499,-2.2387,1.1252,-0.8501,-1.6699,0.1512,0.0,0.0
1783101805960,1,12.00000018,Upper Delivery,Loading,pitch.0,654459,-1.5521,-1.7229,5.7608,2.2746,0.7569,3.6118,-0.018,0.0542
1783101805960,1,Pitching Mound.Delivery,,Loading,pitch.0,652963,-3.051,-3.9616,6.886,-0.1516,-0.913,3.7449,0.0,0.0
1783101805960,1,Pitching Mound.Drive,,Loading,pitch.0,653596,-1.6808,5.0616,45.527,21.7584,-15.9148,4.2349,0.048,0.0656
1783101805960,1,Pitching Mound.Parent,,Loading,pitch.0,652320,-4.7318,1.1,52.4131,21.6068,-16.8278,7.9799,0.0397,0.0329
1783101805961,1,11.0000004b,Drive,Loading,pitch.0,653597,-1.6861,5.0796,45.4985,21.9003,-15.8154,4.2344,0.0477,0.0661
1783101805961,1,12.00000015,Lower Delivery,Loading,pitch.0,653346,-1.5139,-2.2794,1.132,-0.8762,-1.9351,0.1836,0.0,0.0
1783101805961,1,12.00000018,Upper Delivery,Loading,pitch.0,654460,-1.5452,-1.6919,5.8828,2.3328,0.6667,3.6292,-0.0156,0.0544
1783101805961,1,Pitching Mound.Delivery,,Loading,pitch.0,652964,-3.0592,-3.9712,7.0148,-0.1587,-1.2684,3.8021,0.0,0.0
1783101805961,1,Pitching Mound.Drive,,Loading,pitch.0,653597,-1.6861,5.0796,45.4985,21.9003,-15.8154,4.2344,0.0477,0.0661
1783101805961,1,Pitching Mound.Parent,,Loading,pitch.0,652321,-4.7453,1.1083,52.5133,21.7416,-17.0838,8.0365,0.0396,0.0326
1783101805962,1,11.0000004b,Drive,Loading,pitch.0,653598,-1.6846,5.0851,45.4348,21.8509,-15.7099,4.2383,0.0475,0.066
1783101805962,1,12.00000018,Upper Delivery,Loading,pitch.0,654461,-1.5434,-1.6654,5.9117,2.2382,0.5773,3.5773,-0.0134,0.052
1783101805962,1,Pitching Mound.Drive,,Loading,pitch.0,653598,-1.6846,5.0851,45.4348,21.8509,-15.7099,4.2383,0.0475,0.066
1783101805963,1,11.0000004b,Drive,Loading,pitch.0,653599,-1.6805,5.1041,45.543,21.927,-15.7999,4.2393,0.0476,0.0661
1783101805963,1,12.00000015,Lower Delivery,Loading,pitch.0,653347,-1.4976,-2.301,1.1107,-0.8712,-2.1795,0.2729,0.0,0.0
1783101805963,1,12.00000018,Upper Delivery,Loading,pitch.0,654462,-1.5598,-1.6598,5.8943,2.1398,0.6278,3.552,-0.0146,0.0498
1783101805963,1,Pitching Mound.Delivery,,Loading,pitch.0,652965,-3.041,-3.9664,7.0224,-0.2653,-1.6022,3.8347,0.0,0.0
1783101805963,1,Pitching Mound.Drive,,Loading,pitch.0,653599,-1.6805,5.1041,45.543,21.927,-15.7999,4.2393,0.0476,0.0661
1783101805963,1,Pitching Mound.Parent,,Loading,pitch.0,652322,-4.7256,1.1187,52.4572,21.5856,-17.3121,8.073,0.0396,0.0319
1783101805964,1,11.0000004b,Drive,Loading,pitch.0,653600,-1.6881,5.0797,45.5209,21.9079,-15.6989,4.2371,0.0473,0.0661
