Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1783097730187,1,12.00000018,Upper Delivery,Loading,pitch.0,356970,-0.3024,-0.6651,0.852,0.5246,0.0705,-1.7075,0.0,0.0
1783097730188,1,12.00000018,Upper Delivery,Loading,pitch.0,356971,-0.3591,-0.7445,0.7677,0.1202,0.2829,-1.6278,0.0,0.0
1783097730189,1,11.0000004b,Drive,Loading,pitch.0,356796,0.1202,0.0932,24.6577,17.0253,31.0135,-0.2534,-0.1518,0.0833
1783097730189,1,12.00000018,Upper Delivery,Loading,pitch.0,356972,-0.3582,-0.7997,0.8233,0.2161,0.2439,-1.6895,0.0,0.0
1783097730189,1,Pitching Mound.Drive,,Loading,pitch.0,356796,0.1202,0.0932,24.6577,17.0253,31.0135,-0.2534,-0.1518,0.0833
1783097730190,1,11.0000004b,Drive,Loading,pitch.0,356797,0.0955,0.0405,24.4774,16.8059,30.7013,-0.2295,-0.1514,0.0829
1783097730190,1,12.00000018,Upper Delivery,Loading,pitch.0,356973,-0.369,-0.7856,0.8577,0.2091,0.264,-1.7494,0.0,0.0
1783097730190,1,Pitching Mound.Drive,,Loading,pitch.0,356797,0.0955,0.0405,24.4774,16.8059,30.7013,-0.2295,-0.1514,0.0829
1783097730191,1,11.0000004b,Drive,Loading,pitch.0,356798,0.0779,-0.0142,24.3136,16.632,30.374,-0.1934,-0.1508,0.0826
1783097730191,1,12.00000018,Upper Delivery,Loading,pitch.0,356974,-0.455,-0.9137,0.7706,0.1303,0.298,-1.7063,0.0,0.0
1783097730191,1,Pitching Mound.Drive,,Loading,pitch.0,356798,0.0779,-0.0142,24.3136,16.632,30.374,-0.1934,-0.1508,0.0826
1783097730192,1,11.0000004b,Drive,Loading,pitch.0,356799,0.0417,-0.0546,24.1373,16.4869,30.0569,-0.1882,-0.1503,0.0824
1783097730192,1,12.00000015,Lower Delivery,Loading,pitch.0,356487,0.0253,-0.8815,0.6505,-0.1408,0.3412,0.0248,0.0,0.0
1783097730192,1,12.00000018,Upper Delivery,Loading,pitch.0,356975,-0.4868,-0.9607,0.8012,0.139,0.3111,-1.7743,0.0,0.0
1783097730192,1,Pitching Mound.Delivery,,Loading,pitch.0,356190,-0.4616,-1.8422,1.4517,-0.053,0.6524,-1.9236,0.0,0.0
1783097730192,1,Pitching Mound.Drive,,Loading,pitch.0,356799,0.0417,-0.0546,24.1373,16.4869,30.0569,-0.1882,-0.1503,0.0824
1783097730192,1,Pitching Mound.Parent,,Loading,pitch.0,355831,-0.3837,-1.8563,25.7653,16.579,31.0264,-2.117,-0.1423,0.0759
1783097730193,1,11.0000004b,Drive,Loading,pitch.0,356800,0.0013,-0.1341,24.0731,16.3191,29.9402,-0.1326,-0.1501,0.0818
1783097730193,1,12.00000015,Lower Delivery,Loading,pitch.0,356488,-0.0031,-0.8974,0.6238,-0.1754,0.4361,0.0248,0.0,0.0
1783097730193,1,12.00000018,Upper Delivery,Loading,pitch.0,356976,-0.529,-0.8577,0.8436,0.1308,0.2989,-1.7106,0.0,0.0
1783097730193,1,Pitching Mound.Delivery,,Loading,pitch.0,356191,-0.532,-1.7551,1.4673,-0.1193,0.7349,-1.8647,0.0,0.0
