Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1783105912166,1,11.0000004b,Drive,Loading,pitch.0,1080818,-1.3538,4.5143,49.9175,32.2796,64.1385,-0.0966,-0.1585,0.0798
1783105912166,1,11.0000004b,Drive,Loading,pitch.0,1080819,-1.3435,4.5027,49.831,32.2695,63.8726,-0.1085,-0.1581,0.0799
1783105912166,1,12.00000015,Lower Delivery,Loading,pitch.0,1080174,0.1357,1.2542,-0.517,-0.4285,-3.1698,0.0104,0.0,0.0
1783105912166,1,12.00000018,Upper Delivery,Loading,pitch.0,1081874,2.3629,3.5281,2.7313,-2.84,0.2934,-3.7293,0.0,0.0
1783105912166,1,Pitching Mound.Delivery,,Loading,pitch.0,1079529,2.4985,4.7823,2.2142,-4.373,-2.8764,-2.9617,0.0,0.0
1783105912166,1,Pitching Mound.Drive,,Loading,pitch.0,1080818,-1.3538,4.5143,49.9175,32.2796,64.1385,-0.0966,-0.1585,0.0798
1783105912166,1,Pitching Mound.Drive,,Loading,pitch.0,1080819,-1.3435,4.5027,49.831,32.2695,63.8726,-0.1085,-0.1581,0.0799
1783105912166,1,Pitching Mound.Parent,,Loading,pitch.0,1078558,1.1447,9.2966,52.1317,27.9066,61.2621,-3.0583,-0.1518,0.0552
1783105912167,1,12.00000015,Lower Delivery,Loading,pitch.0,1080175,0.1257,1.2656,-0.4965,-0.4655,-3.0171,0.011,0.0,0.0
1783105912167,1,12.00000015,Lower Delivery,Loading,pitch.0,1080176,0.112,1.2852,-0.4681,-0.701,-2.6749,0.0178,0.0,0.0
1783105912167,1,12.00000018,Upper Delivery,Loading,pitch.0,1081875,2.3391,3.5658,2.9395,-2.8655,0.3128,-3.6995,-0.0131,-0.1203
1783105912167,1,Pitching Mound.Delivery,,Loading,pitch.0,1079530,2.4648,4.8314,2.443,-4.4993,-2.7043,-2.9359,0.0,0.0
1783105912167,1,Pitching Mound.Parent,,Loading,pitch.0,1078559,1.1213,9.3341,52.274,27.7702,61.1683,-3.0443,-0.1515,0.047
1783105912168,1,11.0000004b,Drive,Loading,pitch.0,1080820,-1.3389,4.4992,49.959,32.2727,64.0972,-0.1108,-0.1583,0.0797
1783105912168,1,12.00000015,Lower Delivery,Loading,pitch.0,1080177,0.1259,1.2802,-0.3769,-0.5957,-2.3073,0.0227,0.0,0.0
1783105912168,1,12.00000018,Upper Delivery,Loading,pitch.0,1081876,2.3814,3.616,3.018,-2.8605,0.4806,-3.7291,-0.0196,-0.1169
1783105912168,1,Pitching Mound.Delivery,,Loading,pitch.0,1079531,2.4934,4.9013,2.5499,-4.7467,-2.1944,-2.9397,0.0,0.0
1783105912168,1,Pitching Mound.Drive,,Loading,pitch.0,1080820,-1.3389,4.4992,49.959,32.2727,64.0972,-0.1108,-0.1583,0.0797
1783105912168,1,Pitching Mound.Parent,,Loading,pitch.0,1078560,1.1544,9.4005,52.5089,27.526,61.9028,-3.0504,-0.1517,0.0465
1783105912169,1,11.0000004b,Drive,Loading,pitch.0,1080821,-1.3328,4.4973,49.9865,32.2785,64.3216,-0.0965,-0.1587,0.0797
1783105912169,1,12.00000018,Upper Delivery,Loading,pitch.0,1081877,2.3797,3.6248,2.9014,-2.8753,0.5932,-3.7749,-0.0252,-0.1223
1783105912169,1,Pitching Mound.Delivery,,Loading,pitch.0,1079532,2.5057,4.9049,2.5244,-4.5856,-1.7141,-2.9859,0.0,0.0
1783105912169,1,Pitching Mound.Drive,,Loading,pitch.0,1080821,-1.3328,4.4973,49.9865,32.2785,64.3216,-0.0965,-0.1587,0.0797
1783105912169,1,Pitching Mound.Parent,,Loading,pitch.0,1078561,1.1729,9.4022,52.5109,27.6928,62.6075,-3.0824,-0.1525,0.0478
