Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1782928509176,1,12.00000018,Upper Delivery,Loading,pitch.0,308858,-0.0542,-0.0357,0.0125,-2.0359,0.0835,-6.1605,0.0,0.0
1782928509177,1,12.00000018,Upper Delivery,Loading,pitch.0,308859,-0.0535,-0.036,0.0103,-2.1304,-0.0626,-6.1476,0.0,0.0
1782928509178,1,11.0000004b,Drive,Loading,pitch.0,308243,0.4071,2.9535,30.5943,22.9326,25.1443,0.1193,-0.0934,0.0852
1782928509178,1,12.00000018,Upper Delivery,Loading,pitch.0,308860,-0.0555,-0.0329,0.0186,-2.0461,-0.1016,-6.139,0.0,0.0
1782928509178,1,Pitching Mound.Drive,,Loading,pitch.0,308243,0.4071,2.9535,30.5943,22.9326,25.1443,0.1193,-0.0934,0.0852
1782928509179,1,11.0000004b,Drive,Loading,pitch.0,308244,0.4073,2.9447,30.5904,22.8539,25.0831,0.1192,-0.0931,0.0849
1782928509179,1,12.00000018,Upper Delivery,Loading,pitch.0,308861,-0.0582,-0.032,0.0246,-2.3968,0.027,-6.0774,0.0,0.0
1782928509179,1,Pitching Mound.Drive,,Loading,pitch.0,308244,0.4073,2.9447,30.5904,22.8539,25.0831,0.1192,-0.0931,0.0849
1782928509180,1,11.0000004b,Drive,Loading,pitch.0,308245,0.3952,2.9628,30.6032,22.9846,25.1939,0.1201,-0.0935,0.0853
1782928509180,1,12.00000015,Lower Delivery,Loading,pitch.0,308254,0.5521,-0.0069,-1.3771,-0.2686,-2.4135,-0.0258,0.0,0.0
1782928509180,1,12.00000018,Upper Delivery,Loading,pitch.0,308862,-0.0578,-0.0363,0.0241,-2.5464,0.1838,-6.064,0.0,0.0
1782928509180,1,Pitching Mound.Delivery,,Loading,pitch.0,308113,0.4939,-0.0389,-1.3525,-3.1419,-2.3866,-6.3106,0.0,0.0
1782928509180,1,Pitching Mound.Drive,,Loading,pitch.0,308245,0.3952,2.9628,30.6032,22.9846,25.1939,0.1201,-0.0935,0.0853
1782928509180,1,Pitching Mound.Parent,,Loading,pitch.0,307797,0.9012,2.9058,29.2379,19.7119,22.6966,-6.1914,-0.0975,0.0725
1782928509181,1,11.0000004b,Drive,Loading,pitch.0,308246,0.3956,2.9596,30.6804,22.9703,25.2009,0.1197,-0.0933,0.0851
1782928509181,1,12.00000015,Lower Delivery,Loading,pitch.0,308255,0.5988,0.0412,-1.44,-0.4359,-2.611,-0.0277,0.0,0.0
1782928509181,1,12.00000015,Lower Delivery,Loading,pitch.0,308256,0.5866,0.062,-1.3968,-0.1455,-2.6453,-0.0254,0.0,0.0
1782928509181,1,12.00000018,Upper Delivery,Loading,pitch.0,308863,-0.0567,-0.0382,0.0151,-2.6747,0.1387,-6.0686,0.0,0.0
1782928509181,1,Pitching Mound.Delivery,,Loading,pitch.0,308114,0.541,0.0049,-1.4159,-3.4801,-2.4272,-6.315,0.0,0.0
1782928509181,1,Pitching Mound.Delivery,,Loading,pitch.0,308115,0.53,0.0238,-1.3816,-3.3003,-2.5066,-6.3128,0.0,0.0
1782928509181,1,Pitching Mound.Drive,,Loading,pitch.0,308246,0.3956,2.9596,30.6804,22.9703,25.2009,0.1197,-0.0933,0.0851
1782928509181,1,Pitching Mound.Parent,,Loading,pitch.0,307798,0.9362,2.9676,29.1873,19.5046,22.7666,-6.1949,-0.0981,0.0724
1782928509181,1,Pitching Mound.Parent,,Loading,pitch.0,307799,0.9256,2.9834,29.2987,19.6701,22.6943,-6.1931,-0.0977,0.0727
1782928509182,1,11.0000004b,Drive,Loading,pitch.0,308247,0.3945,2.9839,30.6444,22.9486,25.1583,0.1202,-0.0933,0.0851
1782928509182,1,12.00000015,Lower Delivery,Loading,pitch.0,308257,0.5797,0.0738,-1.368,0.0106,-2.7981,-0.0254,0.0,0.0
1782928509182,1,12.00000018,Upper Delivery,Loading,pitch.0,308864,-0.0547,-0.0369,0.0037,-2.6412,-0.0144,-6.0894,0.0,0.0
1782928509182,1,Pitching Mound.Delivery,,Loading,pitch.0,308116,0.525,0.0369,-1.3643,-3.097,-2.8125,-6.3305,0.0,0.0
1782928509182,1,Pitching Mound.Drive,,Loading,pitch.0,308247,0.3945,2.9839,30.6444,22.9486,25.1583,0.1202,-0.0933,0.0851
1782928509182,1,Pitching Mound.Parent,,Loading,pitch.0,307800,0.9194,3.0208,29.2801,19.8517,22.3458,-6.2103,-0.0976,0.0731
1782928509183,1,11.0000004b,Drive,Loading,pitch.0,308248,0.4007,2.9912,30.6148,22.9934,25.0036,0.1186,-0.0928,0.0853
1782928509183,1,12.00000015,Lower Delivery,Loading,pitch.0,308258,0.6017,0.1184,-1.3521,0.2221,-3.0524,-0.0265,0.0,0.0
1782928509183,1,12.00000018,Upper Delivery,Loading,pitch.0,308865,-0.0517,-0.0387,-0.0025,-2.2581,0.2324,-6.0856,0.0,0.0
1782928509183,1,Pitching Mound.Delivery,,Loading,pitch.0,308117,0.5499,0.0796,-1.3545,-2.4948,-2.8199,-6.3342,0.0,0.0
1782928509183,1,Pitching Mound.Drive,,Loading,pitch.0,308248,0.4007,2.9912,30.6148,22.9934,25.0036,0.1186,-0.0928,0.0853
1782928509183,1,Pitching Mound.Parent,,Loading,pitch.0,307801,0.9506,3.0708,29.2603,20.4986,22.1837,-6.2157,-0.0971,0.0736
1782928509184,1,12.00000015,Lower Delivery,Loading,pitch.0,308259,0.573,0.1232,-1.2713,0.1835,-3.2113,-0.026,0.0,0.0
1782928509184,1,12.00000018,Upper Delivery,Loading,pitch.0,308866,-0.0513,-0.0386,-0.0045,-2.0066,0.4557,-6.105,0.0,0.0
1782928509184,1,Pitching Mound.Delivery,,Loading,pitch.0,308118,0.5216,0.0846,-1.2757,-2.2538,-2.7557,-6.3433,0.0,0.0
1782928509185,1,11.0000004b,Drive,Loading,pitch.0,308249,0.3994,3.01,30.5802,22.9988,25.0045,0.1182,-0.0929,0.0854
1782928509185,1,12.00000015,Lower Delivery,Loading,pitch.0,308260,0.5963,0.1572,-1.2828,0.2718,-3.3533,-0.0279,0.0,0.0
1782928509185,1,12.00000018,Upper Delivery,Loading,pitch.0,308867,-0.0502,-0.0414,-0.0074,-2.0778,0.5242,-6.0869,0.0,0.0
1782928509185,1,Pitching Mound.Delivery,,Loading,pitch.0,308119,0.5462,0.1159,-1.2902,-2.2397,-2.8291,-6.3346,0.0,0.0
1782928509185,1,Pitching Mound.Drive,,Loading,pitch.0,308249,0.3994,3.01,30.5802,22.9988,25.0045,0.1182,-0.0929,0.0854
1782928509185,1,Pitching Mound.Parent,,Loading,pitch.0,307802,0.921,3.0946,29.3045,20.7451,22.2488,-6.2251,-0.0969,0.0745
1782928509186,1,11.0000004b,Drive,Loading,pitch.0,308250,0.397,3.0023,30.6668,23.0118,25.0226,0.118,-0.0927,0.0852
1782928509186,1,11.0000004b,Drive,Loading,pitch.0,308251,0.4076,3.0048,30.7002,22.9704,24.982,0.1176,-0.0924,0.085
1782928509186,1,12.00000015,Lower Delivery,Loading,pitch.0,308261,0.5992,0.1576,-1.2982,0.1435,-3.4789,-0.0286,0.0,0.0
1782928509186,1,12.00000018,Upper Delivery,Loading,pitch.0,308868,-0.0485,-0.044,-0.0096,-2.1046,0.615,-6.0765,0.0,0.0
1782928509186,1,Pitching Mound.Delivery,,Loading,pitch.0,308120,0.5507,0.1136,-1.3078,-2.3993,-2.8639,-6.3254,0.0,0.0
1782928509186,1,Pitching Mound.Drive,,Loading,pitch.0,308250,0.397,3.0023,30.6668,23.0118,25.0226,0.118,-0.0927,0.0852
1782928509186,1,Pitching Mound.Drive,,Loading,pitch.0,308251,0.4076,3.0048,30.7002,22.9704,24.982,0.1176,-0.0924,0.085
1782928509186,1,Pitching Mound.Parent,,Loading,pitch.0,307803,0.9432,3.1182,29.3766,20.7721,22.1935,-6.2166,-0.0968,0.0742
1782928509186,1,Pitching Mound.Parent,,Loading,pitch.0,307804,0.9583,3.1184,29.3923,20.5711,22.1181,-6.2078,-0.0966,0.0739
1782928509187,1,12.00000015,Lower Delivery,Loading,pitch.0,308262,0.5872,0.1333,-1.3597,0.3483,-3.433,-0.029,0.0,0.0
1782928509187,1,12.00000018,Upper Delivery,Loading,pitch.0,308869,-0.0496,-0.0422,-0.0082,-1.8129,0.796,-6.0663,0.0,0.0
1782928509187,1,Pitching Mound.Delivery,,Loading,pitch.0,308121,0.5376,0.0911,-1.368,-1.9241,-2.637,-6.3119,0.0,0.0
1782928509188,1,11.0000004b,Drive,Loading,pitch.0,308252,0.3984,2.9886,30.7142,22.9701,24.8832,0.1174,-0.092,0.085
1782928509188,1,12.00000015,Lower Delivery,Loading,pitch.0,308263,0.6107,0.1567,-1.4499,-0.2207,-3.6708,-0.0308,0.0,0.0
1782928509188,1,12.00000018,Upper Delivery,Loading,pitch.0,308870,-0.048,-0.0378,-0.0048,-1.8076,0.6745,-6.0888,0.0,0.0
1782928509188,1,Pitching Mound.Delivery,,Loading,pitch.0,308122,0.5627,0.1189,-1.4547,-2.5196,-2.9963,-6.3436,0.0,0.0
1782928509188,1,Pitching Mound.Drive,,Loading,pitch.0,308252,0.3984,2.9886,30.7142,22.9701,24.8832,0.1174,-0.092,0.085
