Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1779148052743,1,12.00000018,Upper Delivery,Loading,pitch.0,37099,0.3321,-1.5788,1.475,0.3043,0.6066,0.4852,0.0,0.0
1779148052743,1,Pitching Mound.Parent,,Loading,pitch.0,37013,-3.5446,1.6632,77.6156,57.9009,-17.5888,3.4984,0.0271,0.0937
1779148052744,1,11.0000004b,Drive,Loading,pitch.0,37140,-3.3874,0.8654,74.1514,59.3808,-17.6369,5.2157,0.0283,0.0954
1779148052744,1,12.00000015,Lower Delivery,Loading,pitch.0,37065,-0.4788,2.3534,2.0961,-1.8495,-0.2758,-2.5171,0.0,0.0
1779148052744,1,12.00000015,Lower Delivery,Loading,pitch.0,37066,-0.4641,2.3341,2.0993,-1.6717,-0.31,-2.5421,0.0,0.0
1779148052744,1,12.00000018,Upper Delivery,Loading,pitch.0,37100,0.3382,-1.553,1.4225,0.2019,0.4622,0.4805,0.0,0.0
1779148052744,1,Pitching Mound.Delivery,,Loading,pitch.0,37038,-0.1406,0.8004,3.5186,-1.4186,0.1864,-1.7588,0.0,0.0
1779148052744,1,Pitching Mound.Drive,,Loading,pitch.0,37140,-3.3874,0.8654,74.1514,59.3808,-17.6369,5.2157,0.0283,0.0954
1779148052744,1,Pitching Mound.Parent,,Loading,pitch.0,37014,-3.5369,1.6605,77.5905,58.0116,-17.4634,3.4783,0.0271,0.0942
1779148052745,1,11.0000004b,Drive,Loading,pitch.0,37141,-3.3745,0.8667,74.2251,59.6292,-17.3472,5.2207,0.0278,0.0957
1779148052745,1,12.00000015,Lower Delivery,Loading,pitch.0,37067,-0.4635,2.3048,2.1123,-1.6453,-0.1693,-2.5322,0.0,0.0
1779148052745,1,12.00000018,Upper Delivery,Loading,pitch.0,37101,0.3387,-1.5398,1.3798,0.0223,0.197,0.4045,0.0,0.0
1779148052745,1,Pitching Mound.Delivery,,Loading,pitch.0,37039,-0.1254,0.7943,3.479,-1.4047,-0.113,-1.8647,0.0,0.0
1779148052745,1,Pitching Mound.Drive,,Loading,pitch.0,37141,-3.3745,0.8667,74.2251,59.6292,-17.3472,5.2207,0.0278,0.0957
1779148052745,1,Pitching Mound.Parent,,Loading,pitch.0,37015,-3.5129,1.6597,77.6305,57.9761,-17.7499,3.3511,0.0271,0.0942
1779148052746,1,11.0000004b,Drive,Loading,pitch.0,37142,-3.3725,0.8604,74.2075,59.6204,-17.0221,5.2189,0.0273,0.0957
1779148052746,1,12.00000015,Lower Delivery,Loading,pitch.0,37068,-0.4337,2.3089,2.1052,-1.7338,-0.1663,-2.5291,0.0,0.0
1779148052746,1,12.00000018,Upper Delivery,Loading,pitch.0,37102,0.3432,-1.5389,1.4482,-0.0801,0.0582,0.4314,0.0,0.0
1779148052746,1,Pitching Mound.Delivery,,Loading,pitch.0,37040,-0.1202,0.7659,3.5606,-1.4996,-0.1112,-1.8265,0.0,0.0
