pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2025-08-04,77,1.38,6.22,"Smith, Josh",669701,608331,strikeout,swinging_strike,,,,,13,Josh Smith strikes out swinging.,R,L,L,TEX,NYY,S,2,,2,2,2025,-0.72,-1.55,-0.466988924858997,1.1478437550600171,,,694671,2,5,Bot,,,,,,,-2.6164691989126574,-112.06718858262222,-0.8099104223072897,-5.4034466074514,24.758460334500366,-45.11031857193123,3.15,1.46,,,,76.3,3094,6.3,776871,669224,502671,665862,676609,683011,691176,641355,642708,54.21,,0,0,1,0,0,,52,6,Curveball,4,5,4,5,5,4,4,5,Infield shade,Standard,333,-0.03,-0.216,68.6,8.2,,0.216,,-1,-1,0.37,0.37,31,27,31,28,3,2,6,1,6,1,5.47,-0.72,-0.72,50.3,27.240277908138133,-25.87909201153786,36.33185812294673,42.10484473275145,46.723788141293156
SL,2025-08-04,88.1,2.33,5.3,"Lowe, Josh",666139,579328,field_out,hit_into_play,,,,,7,"Josh Lowe grounds out, shortstop Zach Neto to first baseman Nolan Schanuel.",R,L,L,LAA,TB,X,6,ground_ball,0,1,2025,-0.17,0.15,-0.580748086831801,1.9080624133875737,,676356,,2,6,Top,126.81,155.64,,,,,-6.784559787266712,-128.16454590765642,-2.484552731008346,-0.4873810525426126,25.90616209607309,-30.221213340946054,3.76,1.77,17,69.1,-5,89,2399,6.8,776867,518595,694384,695681,660162,687263,621493,669326,666176,53.66,0.072,0.07,0,1,0,0,2,48,2,Slider,4,1,1,4,1,4,1,4,Standard,Standard,202,0.024,-0.248,69.8,7.3,0.075,0.248,88.0,3,-3,0.887,0.11299999999999999,34,27,34,27,3,2,6,1,5,1,2.78,-0.17,-0.17,39.4,12.141197178456494,7.455753146955947,34.0521135489193,45.03590572328207,33.76603737488681
FF,2025-08-04,96.1,1.12,6.1,"Smith, Josh",669701,608331,,ball,,,,,11,Ball,R,L,L,TEX,NYY,B,,,1,2,2025,0.08,1.19,-1.4156821776514692,4.150425682228246,,,694671,2,5,Bot,,,,,,,-6.957710576684078,-139.7752334076137,-2.2450159418226496,2.7344079034531714,32.75947311324779,-16.321659958219033,3.14120869968028,1.42313420284326,,,,96.7,2245,6.8,776871,669224,502671,665862,676609,683011,691176,641355,642708,53.73,,,,,,,,52,5,4-Seam Fastball,4,5,4,5,5,4,4,5,Infield shade,Standard,159,0.006,0.033,,,,-0.033,,-1,-1,0.364,0.364,31,27,31,28,3,2,6,1,6,1,1.29,0.08,0.08,55.3,,,,,
SL,2025-08-04,88.5,2.37,5.33,"Lowe, Josh",666139,579328,,called_strike,,,,,8,Called Strike,R,L,L,LAA,TB,S,,,0,0,2025,-0.46,0.32,-0.1717760858690805,2.158017163491786,,,676356,2,6,Top,,,,,,,-5.307482915219167,-128.87391787174025,-2.367380191089838,-4.036969884999958,26.611423041906473,-28.309670261494986,3.68125902006499,1.59245314814964,,,,89.8,2272,7,776867,518595,694384,695681,660162,687263,621493,669326,666176,53.47,,,,,,,,48,1,Slider,4,1,1,4,1,4,1,4,Standard,Standard,180,-0.003,-0.042,,,,0.042,,3,-3,0.89,0.10999999999999999,34,27,34,27,3,2,6,1,5,1,2.58,-0.46,-0.46,36.8,,,,,
ST,2025-08-04,83.1,1.74,5.89,"Smith, Josh",669701,608331,,foul,,,,,1,Foul,R,L,L,TEX,NYY,S,,,1,2,2025,-1.88,-0.21,-0.6398786020663667,3.267881216156486,,,694671,2,5,Bot,,,,,,,-1.7580470443041816,-120.93138664520153,0.9821620440533563,-17.80100271171783,27.679291273976258,-34.664091112913944,3.15,1.46,221,69,40,82.5,2992,6.3,776871,669224,502671,665862,676609,683011,691176,641355,642708,54.21,,,,,,,,52,4,Sweeper,4,5,4,5,5,4,4,5,Infield shade,Standard,308,0,0,64.3,6.5,,0,88.0,-1,-1,0.364,0.364,31,27,31,28,3,2,6,1,6,1,3.56,-1.88,-1.88,46.9,11.668805732566092,-0.5531354431591271,25.618557796608187,45.36762381785037,28.666072893718646
SL,2025-08-04,87,2.21,5.37,"DeLuca, Jonny",676356,579328,single,hit_into_play,,,,,9,Jonny DeLuca singles on a line drive to left fielder Taylor Ward.,R,R,L,LAA,TB,X,7,line_drive,2,2,2025,-0.32,0.23,0.7204506371873727,1.9200998011326456,,,,2,6,Top,81.85,86.96,,,,,-2.951120254832074,-126.70860806148444,-2.6186400905925264,-2.8920267615177933,24.813289250674778,-29.406089958815457,3.29,1.54,188,95.6,11,88.2,2349,6.9,776867,518595,694384,695681,660162,687263,621493,669326,666176,53.58,0.889,0.838,0.9,1,1,0,4,47,5,Slider,4,1,1,4,1,4,1,4,Standard,Standard,242,-0.013,0.362,75.0,8.0,1.024,-0.362,95.6,3,-3,0.903,0.09699999999999998,34,26,34,27,3,2,6,1,5,1,2.77,-0.32,0.32,38.9,9.199300758371765,-7.631331561673062,25.647634953748053,43.648325664940536,34.399922138880946
CH,2025-08-04,87.3,2.01,5.39,"DeLuca, Jonny",676356,579328,,ball,,,,,13,Ball,R,R,L,LAA,TB,B,,,1,2,2025,0.98,0.29,-0.6100333571543496,0.4974657168593337,,,,2,6,Top,,,,,,,-8.445854959329248,-126.77582723831253,-6.285111411235423,12.235238145664315,25.281378439914086,-27.987720831129874,3.27163822828574,1.56022148473968,,,,88.7,1528,7.2,776867,518595,694384,695681,660162,687263,621493,669326,666176,53.28,,,,,,,,47,4,Changeup,4,1,1,4,1,4,1,4,Standard,Standard,135,-0.002,0.042,,,,-0.042,,3,-3,0.905,0.09499999999999997,34,26,34,27,3,2,6,1,5,1,2.71,0.98,-0.98,41.5,,,,,
CU,2025-08-04,74.3,1.62,6.17,"Smith, Josh",669701,608331,,swinging_strike,,,,,7,Swinging Strike,R,L,L,TEX,NYY,S,,,1,1,2025,-0.66,-1.44,-0.4345613811200266,1.6153206629174681,,,694671,2,5,Bot,,,,,,,-3.0284725529605634,-108.08250946792289,0.5492581184082712,-4.490505501117652,21.977356527530123,-43.71549410495591,3.15,1.46,,,,73.4,2875,6,776871,669224,502671,665862,676609,683011,691176,641355,642708,54.47,,,,,,,,52,3,Curveball,4,5,4,5,5,4,4,5,Standard,Standard,326,-0.009,-0.073,62.5,8.0,,0.073,,-1,-1,0.373,0.373,31,27,31,28,3,2,6,1,6,1,5.63,-0.66,-0.66,51.6,30.159875419499308,-31.239718232751073,33.49252633320876,42.56905559568411,51.545964818623965
SI,2025-08-04,95.9,-1.35,5.53,"Frazier, Adam",624428,678394,field_out,hit_into_play,,,,,6,Adam Frazier flies out to right fielder Wilyer Abreu.,R,L,R,BOS,KC,X,9,fly_ball,1,2,2025,-1.33,1.02,0.7589524124249312,2.0900299340601354,,,672580,2,6,Top,184.17,79.41,,,,,8.584167176691404,-139.30054328123356,-5.788312575804144,-19.278341330012356,30.9456416865138,-17.76064180682542,3.25,1.48,328,88.3,29,95.9,2204,6.4,776880,657136,647351,663853,608324,596115,680776,678882,677800,54.15,0.043,0.054,0,1,0,0,3,49,4,Sinker,7,1,1,7,1,7,1,7,Standard,Standard,226,0.004,-0.182,62.1,7.0,0.091,0.182,88.3,6,-6,0.982,0.018000000000000016,26,33,26,34,3,2,5,1,6,1,1.47,1.33,-1.33,36.0,16.36012681110126,-7.787219570346083,47.23370967962598,20.224465111722274,26.712797109315492
FF,2025-08-04,94.3,-1.42,5.49,"Frazier, Adam",624428,678394,,ball,,,,,11,Ball,R,L,R,BOS,KC,B,,,0,2,2025,-0.91,1.19,-0.12160799294678337,3.6839513201013516,,,672580,2,6,Top,,,,,,,5.399831769286214,-137.1614658250876,-1.6228281429653597,-12.651592603670153,31.73994526577031,-17.011229644724974,3.26921261188977,1.30900180279926,,,,94.2,2254,6.4,776880,657136,647351,663853,608324,596115,680776,678882,677800,54.12,,,,,,,,49,3,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,234,-0.001,0.009,,,,-0.009,,6,-6,0.983,0.017000000000000015,26,33,26,34,3,2,5,1,6,1,1.38,0.91,-0.91,37.9,,,,,
